2020-12-23 16:42:52.979 [http-nio-8087-exec-1] INFO  admin - 之前执行
2020-12-23 16:42:52.982 [http-nio-8087-exec-1] INFO  admin - 即将执行方法为: get，属于com.example.sbdemo.controller.TestController包
2020-12-23 16:42:52.982 [http-nio-8087-exec-1] INFO  admin - 用户请求的url为：http://localhost:8087/ceshi，ip地址为：0:0:0:0:0:0:0:1
2020-12-23 16:42:56.893 [http-nio-8087-exec-3] INFO  admin - 之前执行
2020-12-23 16:42:56.894 [http-nio-8087-exec-3] INFO  admin - 即将执行方法为: get，属于com.example.sbdemo.controller.TestController包
2020-12-23 16:42:56.895 [http-nio-8087-exec-3] INFO  admin - 用户请求的url为：http://localhost:8087/ceshi，ip地址为：0:0:0:0:0:0:0:1
2020-12-23 16:43:50.395 [http-nio-8087-exec-1] INFO  admin - 之前执行
2020-12-23 16:43:50.396 [http-nio-8087-exec-1] INFO  admin - 即将执行方法为: get，属于com.example.sbdemo.controller.TestController包
2020-12-23 16:43:50.397 [http-nio-8087-exec-1] INFO  admin - 用户请求的url为：http://localhost:8087/ceshi，ip地址为：0:0:0:0:0:0:0:1
2020-12-23 16:44:36.087 [http-nio-8087-exec-1] INFO  admin - 之前执行
2020-12-23 16:44:36.088 [http-nio-8087-exec-1] INFO  admin - 即将执行方法为: get，属于com.example.sbdemo.controller.TestController包
2020-12-23 16:44:36.089 [http-nio-8087-exec-1] INFO  admin - 用户请求的url为：http://localhost:8087/ceshi，ip地址为：0:0:0:0:0:0:0:1
2020-12-23 16:47:32.591 [http-nio-8087-exec-1] INFO  admin - 之前执行
2020-12-23 16:47:32.593 [http-nio-8087-exec-1] INFO  admin - 即将执行方法为: get，属于com.example.sbdemo.controller.TestController包
2020-12-23 16:47:32.593 [http-nio-8087-exec-1] INFO  admin - 用户请求的url为：http://localhost:8087/ceshi，ip地址为：0:0:0:0:0:0:0:1
2020-12-23 16:48:51.154 [http-nio-8087-exec-1] INFO  admin - 之前执行
2020-12-23 16:48:51.155 [http-nio-8087-exec-1] INFO  admin - 即将执行方法为: get，属于com.example.sbdemo.controller.TestController包
2020-12-23 16:48:51.156 [http-nio-8087-exec-1] INFO  admin - 用户请求的url为：http://localhost:8087/ceshi，ip地址为：0:0:0:0:0:0:0:1
2020-12-23 16:53:23.428 [http-nio-8087-exec-1] INFO  admin - 之前执行
2020-12-23 16:53:23.443 [http-nio-8087-exec-1] INFO  admin - 即将执行方法为: get，属于com.example.sbdemo.controller.TestController包
2020-12-23 16:53:23.443 [http-nio-8087-exec-1] INFO  admin - 用户请求的url为：http://localhost:8087/ceshi，ip地址为：0:0:0:0:0:0:0:1
2020-12-23 16:57:00.220 [http-nio-8087-exec-1] INFO  admin - 之前执行
2020-12-23 16:57:00.221 [http-nio-8087-exec-1] INFO  admin - 即将执行方法为: get，属于com.example.sbdemo.controller.TestController包
2020-12-23 16:57:00.221 [http-nio-8087-exec-1] INFO  admin - 用户请求的url为：http://localhost:8087/ceshi，ip地址为：0:0:0:0:0:0:0:1
2020-12-23 17:06:10.172 [http-nio-8087-exec-1] INFO  admin - 之前执行
2020-12-23 17:06:10.173 [http-nio-8087-exec-1] INFO  admin - 即将执行方法为: get，属于com.example.sbdemo.controller.TestController包
2020-12-23 17:06:10.173 [http-nio-8087-exec-1] INFO  admin - 用户请求的url为：http://localhost:8087/ceshi，ip地址为：0:0:0:0:0:0:0:1
2020-12-23 17:07:20.442 [http-nio-8087-exec-1] INFO  admin - 之前执行
2020-12-23 17:07:20.444 [http-nio-8087-exec-1] INFO  admin - 即将执行方法为: get，属于com.example.sbdemo.controller.TestController包
2020-12-23 17:07:20.446 [http-nio-8087-exec-1] INFO  admin - 用户请求的url为：http://localhost:8087/ceshi，ip地址为：0:0:0:0:0:0:0:1
2020-12-23 17:08:55.990 [http-nio-8087-exec-1] INFO  admin - 之前执行
2020-12-23 17:08:55.991 [http-nio-8087-exec-1] INFO  admin - 即将执行方法为: get，属于com.example.sbdemo.controller.TestController包
2020-12-23 17:08:55.991 [http-nio-8087-exec-1] INFO  admin - 用户请求的url为：http://localhost:8087/ceshi，ip地址为：0:0:0:0:0:0:0:1
2020-12-23 17:09:51.968 [http-nio-8087-exec-1] INFO  admin - 之前执行
2020-12-23 17:09:51.970 [http-nio-8087-exec-1] INFO  admin - 即将执行方法为: get，属于com.example.sbdemo.controller.TestController包
2020-12-23 17:09:51.970 [http-nio-8087-exec-1] INFO  admin - 用户请求的url为：http://localhost:8087/ceshi，ip地址为：0:0:0:0:0:0:0:1
2020-12-23 17:11:05.675 [http-nio-8087-exec-1] INFO  admin - 之前执行
2020-12-23 17:11:05.676 [http-nio-8087-exec-1] INFO  admin - 即将执行方法为: get，属于com.example.sbdemo.controller.TestController包
2020-12-23 17:11:05.676 [http-nio-8087-exec-1] INFO  admin - 用户请求的url为：http://localhost:8087/ceshi，ip地址为：0:0:0:0:0:0:0:1
2020-12-23 17:12:49.316 [http-nio-8087-exec-1] INFO  admin - 之前执行
2020-12-23 17:12:49.317 [http-nio-8087-exec-1] INFO  admin - 即将执行方法为: get，属于com.example.sbdemo.controller.TestController包
2020-12-23 17:12:49.318 [http-nio-8087-exec-1] INFO  admin - 用户请求的url为：http://localhost:8087/ceshi，ip地址为：0:0:0:0:0:0:0:1
2020-12-23 17:14:23.604 [http-nio-8087-exec-1] INFO  admin - 之前执行
2020-12-23 17:14:23.605 [http-nio-8087-exec-1] INFO  admin - 即将执行方法为: get，属于com.example.sbdemo.controller.TestController包
2020-12-23 17:14:23.606 [http-nio-8087-exec-1] INFO  admin - 用户请求的url为：http://localhost:8087/ceshi，ip地址为：0:0:0:0:0:0:0:1
2020-12-23 17:14:25.276 [http-nio-8087-exec-2] INFO  admin - 之前执行
2020-12-23 17:14:25.277 [http-nio-8087-exec-2] INFO  admin - 即将执行方法为: get，属于com.example.sbdemo.controller.TestController包
2020-12-23 17:14:25.277 [http-nio-8087-exec-2] INFO  admin - 用户请求的url为：http://localhost:8087/ceshi，ip地址为：0:0:0:0:0:0:0:1
2020-12-23 17:14:26.756 [http-nio-8087-exec-4] INFO  admin - 之前执行
2020-12-23 17:14:26.757 [http-nio-8087-exec-4] INFO  admin - 即将执行方法为: get，属于com.example.sbdemo.controller.TestController包
2020-12-23 17:14:26.758 [http-nio-8087-exec-4] INFO  admin - 用户请求的url为：http://localhost:8087/ceshi，ip地址为：0:0:0:0:0:0:0:1
2020-12-23 17:16:04.548 [http-nio-8087-exec-1] INFO  admin - 之前执行
2020-12-23 17:16:04.549 [http-nio-8087-exec-1] INFO  admin - 即将执行方法为: get，属于com.example.sbdemo.controller.TestController包
2020-12-23 17:16:04.549 [http-nio-8087-exec-1] INFO  admin - 用户请求的url为：http://localhost:8087/ceshi，ip地址为：0:0:0:0:0:0:0:1
2020-12-23 17:17:28.705 [http-nio-8087-exec-1] INFO  admin - 之前执行
2020-12-23 17:17:28.708 [http-nio-8087-exec-1] INFO  admin - 即将执行方法为: get，属于com.example.sbdemo.controller.TestController包
2020-12-23 17:17:28.709 [http-nio-8087-exec-1] INFO  admin - 用户请求的url为：http://localhost:8087/ceshi，ip地址为：0:0:0:0:0:0:0:1
2020-12-23 17:17:32.133 [http-nio-8087-exec-2] INFO  admin - 之前执行
2020-12-23 17:17:32.135 [http-nio-8087-exec-2] INFO  admin - 即将执行方法为: get，属于com.example.sbdemo.controller.TestController包
2020-12-23 17:17:32.136 [http-nio-8087-exec-2] INFO  admin - 用户请求的url为：http://localhost:8087/ceshi，ip地址为：0:0:0:0:0:0:0:1
2020-12-23 17:18:15.959 [http-nio-8087-exec-1] INFO  admin - 之前执行
2020-12-23 17:18:15.961 [http-nio-8087-exec-1] INFO  admin - 即将执行方法为: get，属于com.example.sbdemo.controller.TestController包
